# SHIELDEVAL RAW v3
# SAMPLE=S01_single_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.698244e+06 88.76 106.9
1.737801e+06 87.98 108.1
1.778279e+06 87.89 110.6
1.819701e+06 87.59 104.9
1.862087e+06 86.59 102.3
1.905461e+06 86.27 103.3
1.949845e+06 86.26 102.0
1.995262e+06 86.34 106.8
2.041738e+06 84.77 97.9
2.089296e+06 85.06 100.9
2.137962e+06 84.58 99.6
2.187762e+06 84.92 98.2
2.238721e+06 84.03 99.8
2.290868e+06 83.83 92.9
2.344229e+06 83.58 95.2
2.398833e+06 83.04 94.5
2.454709e+06 83.55 96.5
2.511886e+06 82.43 96.8
2.570396e+06 82.61 94.5
2.630268e+06 82.34 96.0
2.691535e+06 81.98 93.8
2.754229e+06 81.62 93.2
2.818383e+06 81.43 91.2
2.884032e+06 81.31 91.9
2.951209e+06 80.85 91.7
3.019952e+06 80.16 89.6
3.090295e+06 80.37 91.1
3.162278e+06 80.35 91.2
3.235937e+06 79.82 90.6
3.311311e+06 79.66 87.7
3.388442e+06 79.76 88.9
3.467369e+06 79.18 89.2
3.548134e+06 79.44 90.4
3.630781e+06 78.90 88.8
3.715352e+06 78.46 87.0
3.801894e+06 78.77 86.0
3.890451e+06 78.42 84.5
3.981072e+06 78.31 86.6
4.073803e+06 77.76 85.2
4.168694e+06 77.87 83.8
4.265795e+06 77.62 87.0
4.365158e+06 77.30 82.3
4.466836e+06 77.08 85.2
4.570882e+06 76.93 84.8
4.677351e+06 76.94 82.4
4.786301e+06 76.90 82.4
4.897788e+06 76.31 81.8
5.011872e+06 76.25 81.8
5.128614e+06 76.00 81.9
5.248075e+06 75.97 81.8
5.370318e+06 75.72 82.0
5.495409e+06 75.36 80.9
5.623413e+06 75.54 82.1
5.754399e+06 75.18 80.7
5.888437e+06 75.12 79.5
6.025596e+06 74.66 80.9
6.165950e+06 74.56 79.2
6.309573e+06 74.49 78.7
6.456542e+06 74.39 78.9
6.606934e+06 74.04 79.0
6.760830e+06 73.83 78.3
6.918310e+06 73.67 77.9
7.079458e+06 73.37 78.4
7.244360e+06 73.34 76.5
7.413102e+06 73.01 76.8
7.585776e+06 72.78 76.9
7.762471e+06 72.75 76.1
7.943282e+06 72.45 76.1
8.128305e+06 72.26 77.3
8.317638e+06 72.22 74.6
8.511380e+06 72.05 76.4
8.709636e+06 71.88 75.2
8.912509e+06 71.58 75.7
9.120108e+06 71.27 74.8
9.332543e+06 71.31 74.1
9.549926e+06 71.03 74.0
9.772372e+06 70.72 75.4
1.000000e+07 70.68 73.0
1.023293e+07 70.42 73.1
1.047129e+07 70.28 73.6
1.071519e+07 70.09 71.7
1.096478e+07 69.85 72.1
1.122018e+07 69.70 71.9
1.148154e+07 69.52 71.0
1.174898e+07 69.36 70.9
1.202264e+07 69.07 70.3
1.230269e+07 68.95 70.0
1.258925e+07 68.82 69.6
1.288250e+07 68.63 69.3
1.318257e+07 68.36 68.3
1.348963e+07 68.19 68.0
1.380384e+07 68.10 67.6
1.412538e+07 67.81 67.3
1.445440e+07 67.72 66.6
1.479108e+07 67.51 65.1
1.513561e+07 67.30 65.3
1.548817e+07 67.09 64.9
1.584893e+07 66.86 64.0
1.621810e+07 66.80 63.7
1.659587e+07 66.60 63.4
1.698244e+07 66.36 62.8
1.737801e+07 66.21 61.9
1.778279e+07 66.00 61.5
1.819701e+07 65.84 60.8
1.862087e+07 65.73 59.8
1.905461e+07 65.54 59.3
1.949845e+07 65.33 59.0
1.995262e+07 65.22 57.5
2.041738e+07 64.98 57.4
2.089296e+07 64.84 56.6
2.137962e+07 64.67 55.6
2.187762e+07 64.42 55.3
2.238721e+07 64.37 54.4
2.290868e+07 64.19 53.6
2.344229e+07 64.03 52.9
2.398833e+07 63.87 52.1
2.454709e+07 63.66 51.1
2.511886e+07 63.52 50.4
2.570396e+07 63.43 49.3
2.630268e+07 63.21 48.9
2.691535e+07 63.01 47.6
2.754229e+07 62.89 47.0
2.818383e+07 62.74 45.9
2.884032e+07 62.63 44.8
2.951209e+07 62.46 44.2
3.019952e+07 62.31 42.9
3.090295e+07 62.19 41.9
3.162278e+07 62.01 40.9
3.235937e+07 61.87 40.1
3.311311e+07 61.79 39.0
3.388442e+07 61.64 37.9
3.467369e+07 61.48 37.0
3.548134e+07 61.35 36.0
3.630781e+07 61.26 34.8
3.715352e+07 61.13 33.8
3.801894e+07 60.98 32.5
3.890451e+07 60.84 31.5
3.981072e+07 60.76 30.3
4.073803e+07 60.61 28.7
4.168694e+07 60.51 27.7
4.265795e+07 60.40 26.8
4.365158e+07 60.25 25.4
4.466836e+07 60.21 24.4
4.570882e+07 60.11 22.9
4.677351e+07 60.01 21.5
4.786301e+07 59.87 20.3
4.897788e+07 59.81 19.0
5.011872e+07 59.69 17.6
5.128614e+07 59.62 16.2
5.248075e+07 59.54 15.0
5.370318e+07 59.45 13.4
5.495409e+07 59.39 12.1
5.623413e+07 59.27 10.8
5.754399e+07 59.24 9.2
5.888437e+07 59.16 7.9
6.025596e+07 59.07 6.2
6.165950e+07 59.02 4.7
6.309573e+07 58.92 3.1
6.456542e+07 58.87 1.8
6.606934e+07 58.87 0.0
6.760830e+07 58.78 -1.6
6.918310e+07 58.74 -3.3
7.079458e+07 58.65 -5.0
7.244360e+07 58.66 -6.5
7.413102e+07 58.62 -8.5
7.585776e+07 58.57 -10.3
7.762471e+07 58.54 -11.9
7.943282e+07 58.53 -13.7
8.128305e+07 58.47 -15.7
8.317638e+07 58.47 -17.4
8.511380e+07 58.45 -19.4
8.709636e+07 58.39 -21.4
8.912509e+07 58.39 -23.5
9.120108e+07 58.41 -25.3
9.332543e+07 58.41 -27.5
9.549926e+07 58.40 -29.5
9.772372e+07 58.39 -31.9
1.000000e+08 58.41 -33.9
1.023293e+08 58.38 -36.2
1.047129e+08 58.41 -38.6
1.071519e+08 58.44 -40.9
1.096478e+08 58.42 -43.5
1.122018e+08 58.44 -46.1
1.148154e+08 58.45 -48.7
1.174898e+08 58.44 -51.4
1.202264e+08 58.50 -54.2
1.230269e+08 58.52 -57.3
1.258925e+08 58.55 -60.3
1.288250e+08 58.55 -63.3
1.318257e+08 58.63 -66.5
1.348963e+08 58.64 -69.9
1.380384e+08 58.69 -73.6
1.412538e+08 58.68 -77.1
1.445440e+08 58.71 -80.9
1.479108e+08 58.72 -84.8
1.513561e+08 58.72 -89.0
1.548817e+08 58.77 -93.5
1.584893e+08 58.69 -97.8
1.621810e+08 58.73 -102.8
1.659587e+08 58.67 -108.0
1.698244e+08 58.59 -113.1
1.737801e+08 58.52 -118.5
1.778279e+08 58.43 -124.2
1.819701e+08 58.25 -130.2
1.862087e+08 58.04 -136.2
1.905461e+08 57.86 -142.6
1.949845e+08 57.61 -149.3
1.995262e+08 57.29 -155.9
2.041738e+08 56.94 -163.1
2.089296e+08 56.52 -170.1
2.137962e+08 56.05 -177.5
2.187762e+08 55.57 175.2
2.238721e+08 55.01 167.6
2.290868e+08 54.42 159.8
2.344229e+08 53.77 152.0
2.398833e+08 53.08 143.7
2.454709e+08 52.39 135.5
2.511886e+08 51.64 126.7
2.570396e+08 50.90 117.8
2.630268e+08 50.15 108.2
2.691535e+08 49.41 98.2
2.754229e+08 48.72 87.6
2.818383e+08 48.09 76.4
2.884032e+08 47.55 64.6
2.951209e+08 47.12 52.3
3.019952e+08 46.85 39.7
3.090295e+08 46.73 26.9
3.162278e+08 46.76 14.3
3.235937e+08 46.94 1.8
3.311311e+08 47.23 -10.1
3.388442e+08 47.62 -21.5
3.467369e+08 48.07 -32.6
3.548134e+08 48.54 -43.2
3.630781e+08 49.05 -53.6
3.715352e+08 49.56 -63.8
3.801894e+08 50.07 -73.9
3.890451e+08 50.54 -84.1
3.981072e+08 50.99 -94.2
4.073803e+08 51.42 -104.9
4.168694e+08 51.79 -115.6
4.265795e+08 52.09 -126.9
4.365158e+08 52.30 -138.7
4.466836e+08 52.43 -150.9
4.570882e+08 52.40 -163.6
4.677351e+08 52.24 -176.8
4.786301e+08 51.94 169.8
4.897788e+08 51.48 156.2
5.011872e+08 50.87 142.1
5.128614e+08 50.13 127.6
5.248075e+08 49.25 112.8
5.370318e+08 48.26 97.1
5.495409e+08 47.22 80.2
5.623413e+08 46.16 61.7
5.754399e+08 45.21 40.9
5.888437e+08 44.58 17.6
6.025596e+08 44.45 -7.3
6.165950e+08 44.91 -32.5
6.309573e+08 45.86 -56.4
6.456542e+08 47.11 -78.5
6.606934e+08 48.46 -99.1
6.760830e+08 49.75 -119.0
6.918310e+08 50.93 -138.7
7.079458e+08 51.93 -158.6
7.244360e+08 52.61 -179.1
7.413102e+08 52.99 159.8
7.585776e+08 52.97 139.0
7.762471e+08 52.65 118.1
7.943282e+08 52.04 97.5
8.128305e+08 51.20 76.8
8.317638e+08 50.20 54.9
8.511380e+08 49.14 30.8
8.709636e+08 48.26 2.3
8.912509e+08 48.05 -31.6
9.120108e+08 49.16 -69.2
9.332543e+08 51.56 -105.4
9.549926e+08 54.59 -139.3
9.772372e+08 57.63 -173.2
1.000000e+09 60.05 150.8
