# SHIELDEVAL RAW v3
# SAMPLE=S02_optimised_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.905461e+07 75.78 -121.2
1.949845e+07 75.65 -120.8
1.995262e+07 75.47 -122.0
2.041738e+07 75.27 -121.6
2.089296e+07 75.13 -124.0
2.137962e+07 75.19 -124.1
2.187762e+07 75.04 -125.9
2.238721e+07 74.97 -125.5
2.290868e+07 74.80 -126.5
2.344229e+07 74.55 -128.0
2.398833e+07 74.48 -128.9
2.454709e+07 74.17 -128.9
2.511886e+07 74.08 -129.9
2.570396e+07 73.86 -131.0
2.630268e+07 73.55 -129.9
2.691535e+07 73.50 -132.6
2.754229e+07 73.25 -134.1
2.818383e+07 73.25 -134.2
2.884032e+07 73.03 -134.9
2.951209e+07 72.92 -135.4
3.019952e+07 72.78 -136.5
3.090295e+07 72.68 -138.2
3.162278e+07 72.52 -139.1
3.235937e+07 72.44 -140.5
3.311311e+07 72.11 -140.7
3.388442e+07 72.06 -142.9
3.467369e+07 71.99 -144.1
3.548134e+07 71.77 -143.8
3.630781e+07 71.55 -145.9
3.715352e+07 71.47 -145.8
3.801894e+07 71.27 -146.6
3.890451e+07 71.26 -148.1
3.981072e+07 71.15 -150.0
4.073803e+07 71.10 -151.0
4.168694e+07 70.95 -152.0
4.265795e+07 70.96 -153.4
4.365158e+07 70.74 -154.8
4.466836e+07 70.69 -156.7
4.570882e+07 70.51 -156.5
4.677351e+07 70.32 -158.3
4.786301e+07 70.27 -159.6
4.897788e+07 70.33 -160.6
5.011872e+07 70.18 -162.1
5.128614e+07 70.12 -164.7
5.248075e+07 70.05 -164.8
5.370318e+07 69.90 -166.8
5.495409e+07 69.79 -167.4
5.623413e+07 69.72 -169.1
5.754399e+07 69.58 -171.3
5.888437e+07 69.67 -172.6
6.025596e+07 69.51 -173.2
6.165950e+07 69.48 -176.1
6.309573e+07 69.39 -177.0
6.456542e+07 69.31 -178.1
6.606934e+07 69.17 179.8
6.760830e+07 69.25 178.6
6.918310e+07 69.32 177.2
7.079458e+07 69.20 175.0
7.244360e+07 69.08 173.1
7.413102e+07 69.01 171.3
7.585776e+07 69.05 170.5
7.762471e+07 69.03 168.4
7.943282e+07 68.96 166.4
8.128305e+07 68.97 164.0
8.317638e+07 68.84 162.2
8.511380e+07 68.96 160.7
8.709636e+07 68.91 159.1
8.912509e+07 68.82 156.6
9.120108e+07 68.85 154.9
9.332543e+07 68.85 152.4
9.549926e+07 68.85 150.0
9.772372e+07 68.83 148.1
1.000000e+08 68.90 146.2
1.023293e+08 68.99 143.6
1.047129e+08 68.84 142.2
1.071519e+08 68.76 139.2
1.096478e+08 68.84 136.2
1.122018e+08 68.90 134.5
1.148154e+08 68.94 131.4
1.174898e+08 68.93 129.3
1.202264e+08 68.97 125.8
1.230269e+08 69.07 122.6
1.258925e+08 69.09 119.7
1.288250e+08 68.95 116.9
1.318257e+08 69.02 113.4
1.348963e+08 69.12 109.8
1.380384e+08 69.09 105.8
1.412538e+08 69.17 103.3
1.445440e+08 69.14 99.4
1.479108e+08 69.25 94.7
1.513561e+08 69.24 91.1
1.548817e+08 69.15 87.0
1.584893e+08 69.25 81.6
1.621810e+08 69.21 77.8
1.659587e+08 69.20 72.3
1.698244e+08 69.11 66.5
1.737801e+08 69.00 61.7
1.778279e+08 68.84 55.6
1.819701e+08 68.83 49.9
1.862087e+08 68.43 44.1
1.905461e+08 68.25 37.7
1.949845e+08 68.01 30.2
1.995262e+08 67.75 24.1
2.041738e+08 67.40 17.0
2.089296e+08 66.99 9.6
2.137962e+08 66.48 2.2
2.187762e+08 66.04 -4.9
2.238721e+08 65.46 -12.5
2.290868e+08 64.81 -19.8
2.344229e+08 64.19 -28.0
2.398833e+08 63.50 -36.3
2.454709e+08 62.83 -44.8
2.511886e+08 62.09 -53.2
2.570396e+08 61.39 -62.4
2.630268e+08 60.59 -72.1
2.691535e+08 59.88 -82.0
2.754229e+08 59.21 -92.3
2.818383e+08 58.52 -103.6
2.884032e+08 58.02 -115.5
2.951209e+08 57.57 -127.7
3.019952e+08 57.31 -140.3
3.090295e+08 57.20 -153.0
3.162278e+08 57.20 -165.8
3.235937e+08 57.42 -178.2
3.311311e+08 57.71 169.8
3.388442e+08 58.05 158.1
3.467369e+08 58.54 147.6
3.548134e+08 59.02 136.7
3.630781e+08 59.52 126.5
3.715352e+08 60.02 116.2
3.801894e+08 60.53 106.3
3.890451e+08 61.00 96.3
3.981072e+08 61.46 85.3
4.073803e+08 61.89 75.1
4.168694e+08 62.22 64.3
4.265795e+08 62.57 52.8
4.365158e+08 62.74 41.1
4.466836e+08 62.85 29.0
4.570882e+08 62.87 16.7
4.677351e+08 62.71 3.1
4.786301e+08 62.39 -10.4
4.897788e+08 61.93 -23.8
5.011872e+08 61.35 -38.0
5.128614e+08 60.55 -52.4
5.248075e+08 59.72 -67.2
5.370318e+08 58.72 -82.8
5.495409e+08 57.66 -100.0
5.623413e+08 56.61 -118.3
5.754399e+08 55.68 -139.1
5.888437e+08 55.04 -162.3
6.025596e+08 54.90 172.7
6.165950e+08 55.36 147.5
6.309573e+08 56.34 123.6
6.456542e+08 57.59 101.5
6.606934e+08 58.88 81.0
6.760830e+08 60.23 61.2
6.918310e+08 61.36 41.5
7.079458e+08 62.39 21.4
7.244360e+08 63.06 0.3
7.413102e+08 63.40 -20.0
7.585776e+08 63.43 -41.2
7.762471e+08 63.05 -62.1
7.943282e+08 62.49 -82.5
8.128305e+08 61.63 -103.0
8.317638e+08 60.67 -124.9
8.511380e+08 59.61 -149.3
8.709636e+08 58.73 -177.8
8.912509e+08 58.51 148.3
9.120108e+08 59.61 110.9
9.332543e+08 62.01 74.4
9.549926e+08 65.07 40.6
9.772372e+08 68.13 6.4
1.000000e+09 70.55 -29.8
