# SHIELDEVAL RAW v3
# SAMPLE=N01_single_braid_tube1000
# FIXTURE=TUBE1000
# LC=1.0
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.148154e+06 97.57 116.1
1.174898e+06 96.83 93.6
1.202264e+06 94.48 110.8
1.230269e+06 93.52 106.7
1.258925e+06 92.68 110.5
1.288250e+06 91.21 114.5
1.318257e+06 89.63 112.9
1.348963e+06 89.25 108.1
1.380384e+06 87.90 105.9
1.412538e+06 87.50 110.3
1.445440e+06 86.68 103.0
1.479108e+06 86.12 107.5
1.513561e+06 85.76 105.5
1.548817e+06 84.50 104.9
1.584893e+06 84.81 104.5
1.621810e+06 83.92 108.6
1.659587e+06 83.25 101.7
1.698244e+06 82.65 102.2
1.737801e+06 82.41 101.9
1.778279e+06 82.10 100.7
1.819701e+06 81.61 101.1
1.862087e+06 80.84 103.0
1.905461e+06 81.09 101.9
1.949845e+06 80.68 101.9
1.995262e+06 80.11 100.1
2.041738e+06 79.87 98.0
2.089296e+06 79.42 96.2
2.137962e+06 78.97 98.8
2.187762e+06 78.71 97.8
2.238721e+06 78.32 95.8
2.290868e+06 78.04 94.6
2.344229e+06 77.78 94.2
2.398833e+06 77.44 94.3
2.454709e+06 77.16 92.7
2.511886e+06 76.94 92.1
2.570396e+06 76.42 92.4
2.630268e+06 76.25 90.1
2.691535e+06 76.16 91.7
2.754229e+06 75.61 89.8
2.818383e+06 75.48 89.2
2.884032e+06 75.36 88.2
2.951209e+06 75.06 87.2
3.019952e+06 74.96 87.6
3.090295e+06 74.67 86.7
3.162278e+06 74.44 85.6
3.235937e+06 74.07 84.4
3.311311e+06 73.72 85.4
3.388442e+06 73.63 83.9
3.467369e+06 73.46 83.6
3.548134e+06 73.28 83.6
3.630781e+06 72.99 82.3
3.715352e+06 72.82 82.6
3.801894e+06 72.74 81.4
3.890451e+06 72.53 80.7
3.981072e+06 72.27 79.2
4.073803e+06 72.03 80.4
4.168694e+06 71.88 79.0
4.265795e+06 71.86 78.4
4.365158e+06 71.47 78.4
4.466836e+06 71.20 78.1
4.570882e+06 71.07 76.7
4.677351e+06 70.98 77.0
4.786301e+06 70.70 76.0
4.897788e+06 70.52 76.0
5.011872e+06 70.35 75.1
5.128614e+06 70.20 74.5
5.248075e+06 70.13 74.9
5.370318e+06 69.78 74.4
5.495409e+06 69.70 73.4
5.623413e+06 69.42 73.1
5.754399e+06 69.37 72.9
5.888437e+06 69.17 71.8
6.025596e+06 68.80 71.6
6.165950e+06 68.84 71.0
6.309573e+06 68.56 70.7
6.456542e+06 68.44 70.5
6.606934e+06 68.14 69.6
6.760830e+06 68.02 68.7
6.918310e+06 67.81 68.0
7.079458e+06 67.60 68.5
7.244360e+06 67.49 67.2
7.413102e+06 67.34 67.4
7.585776e+06 67.12 66.7
7.762471e+06 67.01 66.1
7.943282e+06 66.81 66.2
8.128305e+06 66.65 65.3
8.317638e+06 66.40 64.8
8.511380e+06 66.26 64.1
8.709636e+06 66.15 63.5
8.912509e+06 65.93 62.9
9.120108e+06 65.75 62.1
9.332543e+06 65.50 61.7
9.549926e+06 65.45 61.5
9.772372e+06 65.18 60.7
1.000000e+07 65.05 59.8
1.023293e+07 64.90 59.7
1.047129e+07 64.67 58.5
1.071519e+07 64.44 57.8
1.096478e+07 64.39 57.3
1.122018e+07 64.21 56.8
1.148154e+07 64.03 55.7
1.174898e+07 63.72 55.2
1.202264e+07 63.61 53.8
1.230269e+07 63.47 53.5
1.258925e+07 63.34 52.6
1.288250e+07 63.16 52.0
1.318257e+07 62.98 51.0
1.348963e+07 62.86 50.2
1.380384e+07 62.66 49.4
1.412538e+07 62.51 48.3
1.445440e+07 62.38 47.4
1.479108e+07 62.20 46.9
1.513561e+07 62.03 45.8
1.548817e+07 61.88 44.6
1.584893e+07 61.76 43.5
1.621810e+07 61.60 43.2
1.659587e+07 61.45 41.7
1.698244e+07 61.31 40.7
1.737801e+07 61.18 39.8
1.778279e+07 61.04 38.9
1.819701e+07 60.91 37.6
1.862087e+07 60.78 36.5
1.905461e+07 60.58 35.3
1.949845e+07 60.48 34.3
1.995262e+07 60.37 33.1
2.041738e+07 60.22 32.0
2.089296e+07 60.07 30.8
2.137962e+07 59.98 29.6
2.187762e+07 59.85 28.3
2.238721e+07 59.73 27.1
2.290868e+07 59.64 25.8
2.344229e+07 59.49 24.5
2.398833e+07 59.40 23.3
2.454709e+07 59.28 21.9
2.511886e+07 59.17 20.6
2.570396e+07 59.11 19.2
2.630268e+07 59.01 17.9
2.691535e+07 58.92 16.3
2.754229e+07 58.77 14.9
2.818383e+07 58.73 13.3
2.884032e+07 58.64 12.0
2.951209e+07 58.52 10.6
3.019952e+07 58.49 8.8
3.090295e+07 58.36 7.4
3.162278e+07 58.33 6.0
3.235937e+07 58.24 4.3
3.311311e+07 58.18 2.6
3.388442e+07 58.11 1.1
3.467369e+07 58.04 -0.7
3.548134e+07 57.99 -2.3
3.630781e+07 57.96 -4.2
3.715352e+07 57.91 -5.8
3.801894e+07 57.85 -7.6
3.890451e+07 57.79 -9.5
3.981072e+07 57.77 -11.3
4.073803e+07 57.73 -13.3
4.168694e+07 57.72 -15.2
4.265795e+07 57.64 -17.4
4.365158e+07 57.62 -19.3
4.466836e+07 57.62 -21.3
4.570882e+07 57.60 -23.3
4.677351e+07 57.56 -25.4
4.786301e+07 57.57 -27.8
4.897788e+07 57.56 -30.1
5.011872e+07 57.55 -32.2
5.128614e+07 57.57 -34.8
5.248075e+07 57.54 -37.2
5.370318e+07 57.55 -39.7
5.495409e+07 57.57 -42.2
5.623413e+07 57.58 -44.9
5.754399e+07 57.61 -47.5
5.888437e+07 57.60 -50.4
6.025596e+07 57.64 -53.2
6.165950e+07 57.63 -56.3
6.309573e+07 57.66 -59.4
6.456542e+07 57.69 -62.7
6.606934e+07 57.73 -66.0
6.760830e+07 57.73 -69.8
6.918310e+07 57.78 -73.1
7.079458e+07 57.79 -77.0
7.244360e+07 57.82 -80.9
7.413102e+07 57.87 -84.9
7.585776e+07 57.82 -89.4
7.762471e+07 57.87 -94.0
7.943282e+07 57.84 -98.5
8.128305e+07 57.79 -103.8
8.317638e+07 57.79 -108.6
8.511380e+07 57.71 -114.0
8.709636e+07 57.63 -119.8
8.912509e+07 57.55 -125.8
9.120108e+07 57.42 -131.7
9.332543e+07 57.22 -138.2
9.549926e+07 57.03 -144.7
9.772372e+07 56.75 -151.4
1.000000e+08 56.46 -158.5
1.023293e+08 56.11 -165.6
1.047129e+08 55.72 -173.1
1.071519e+08 55.28 179.4
1.096478e+08 54.80 171.9
1.122018e+08 54.27 164.0
1.148154e+08 53.67 156.1
1.174898e+08 53.10 148.0
1.202264e+08 52.47 139.7
1.230269e+08 51.79 131.3
1.258925e+08 51.14 122.5
1.288250e+08 50.46 113.4
1.318257e+08 49.79 104.0
1.348963e+08 49.15 94.2
1.380384e+08 48.53 84.0
1.412538e+08 47.97 73.2
1.445440e+08 47.51 62.0
1.479108e+08 47.14 50.5
1.513561e+08 46.87 38.7
1.548817e+08 46.74 26.8
1.584893e+08 46.72 15.0
1.621810e+08 46.83 3.2
1.659587e+08 47.03 -8.3
1.698244e+08 47.32 -19.5
1.737801e+08 47.66 -30.4
1.778279e+08 48.05 -41.0
1.819701e+08 48.49 -51.5
1.862087e+08 48.93 -61.9
1.905461e+08 49.36 -72.2
1.949845e+08 49.81 -82.7
1.995262e+08 50.23 -93.2
2.041738e+08 50.62 -104.1
2.089296e+08 50.97 -115.5
2.137962e+08 51.25 -127.1
2.187762e+08 51.43 -139.2
2.238721e+08 51.55 -151.8
2.290868e+08 51.52 -165.0
2.344229e+08 51.35 -178.5
2.398833e+08 51.05 167.5
2.454709e+08 50.60 153.3
2.511886e+08 50.01 138.7
2.570396e+08 49.30 123.9
2.630268e+08 48.47 108.5
2.691535e+08 47.59 92.4
2.754229e+08 46.67 75.3
2.818383e+08 45.78 56.7
2.884032e+08 45.03 36.3
2.951209e+08 44.57 14.2
3.019952e+08 44.52 -9.1
3.090295e+08 44.94 -32.6
3.162278e+08 45.75 -55.3
3.235937e+08 46.82 -77.0
3.311311e+08 48.00 -97.6
3.388442e+08 49.17 -117.8
3.467369e+08 50.26 -138.1
3.548134e+08 51.17 -158.6
3.630781e+08 51.82 180.0
3.715352e+08 52.13 158.4
3.801894e+08 52.10 136.7
3.890451e+08 51.74 115.3
3.981072e+08 51.15 94.0
4.073803e+08 50.35 72.6
4.168694e+08 49.48 50.1
4.265795e+08 48.62 25.3
4.365158e+08 48.05 -3.0
4.466836e+08 48.16 -35.4
4.570882e+08 49.35 -70.1
4.677351e+08 51.61 -104.5
4.786301e+08 54.40 -137.9
4.897788e+08 57.25 -172.7
5.011872e+08 59.52 150.3
5.128614e+08 60.64 113.3
5.248075e+08 60.79 80.3
5.370318e+08 60.67 52.7
5.495409e+08 60.98 28.1
5.623413e+08 62.20 5.6
5.754399e+08 65.61 -13.1
5.888437e+08 72.88 29.0
6.025596e+08 62.58 53.0
6.165950e+08 58.24 22.6
6.309573e+08 56.99 -8.6
6.456542e+08 56.92 -38.2
6.606934e+08 57.34 -69.1
6.760830e+08 57.63 -105.3
6.918310e+08 57.04 -148.5
7.079458e+08 54.70 164.2
7.244360e+08 51.20 116.1
7.413102e+08 48.00 63.5
7.585776e+08 47.04 6.5
7.762471e+08 48.35 -44.5
7.943282e+08 50.28 -88.8
8.128305e+08 51.77 -133.0
8.317638e+08 52.01 179.6
8.511380e+08 50.52 130.4
8.709636e+08 47.89 79.7
8.912509e+08 45.56 19.8
9.120108e+08 46.22 -48.5
9.332543e+08 49.45 -109.2
9.549926e+08 52.38 -166.0
9.772372e+08 53.29 136.6
1.000000e+09 52.09 82.6
