# SHIELDEVAL RAW v3
# SAMPLE=S05_thin_strands
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.698244e+07 62.19 63.0
1.737801e+07 62.02 62.3
1.778279e+07 61.89 61.5
1.819701e+07 61.69 61.0
1.862087e+07 61.50 59.8
1.905461e+07 61.37 59.4
1.949845e+07 61.19 58.8
1.995262e+07 61.03 57.7
2.041738e+07 60.84 57.3
2.089296e+07 60.67 56.5
2.137962e+07 60.50 56.0
2.187762e+07 60.35 55.1
2.238721e+07 60.21 54.4
2.290868e+07 60.01 53.5
2.344229e+07 59.86 52.4
2.398833e+07 59.72 51.8
2.454709e+07 59.58 50.8
2.511886e+07 59.41 50.0
2.570396e+07 59.24 49.2
2.630268e+07 59.10 48.6
2.691535e+07 58.94 47.7
2.754229e+07 58.79 46.8
2.818383e+07 58.65 45.6
2.884032e+07 58.53 44.9
2.951209e+07 58.38 43.8
3.019952e+07 58.25 42.8
3.090295e+07 58.07 42.0
3.162278e+07 57.96 40.8
3.235937e+07 57.80 40.0
3.311311e+07 57.66 38.8
3.388442e+07 57.55 37.9
3.467369e+07 57.37 36.8
3.548134e+07 57.28 35.7
3.630781e+07 57.14 34.7
3.715352e+07 57.05 33.6
3.801894e+07 56.90 32.5
3.890451e+07 56.80 31.4
3.981072e+07 56.68 30.3
4.073803e+07 56.55 28.9
4.168694e+07 56.44 27.8
4.265795e+07 56.34 26.7
4.365158e+07 56.24 25.4
4.466836e+07 56.10 24.1
4.570882e+07 56.01 22.9
4.677351e+07 55.90 21.5
4.786301e+07 55.80 20.2
4.897788e+07 55.70 18.9
5.011872e+07 55.65 17.6
5.128614e+07 55.57 16.4
5.248075e+07 55.44 14.9
5.370318e+07 55.38 13.6
5.495409e+07 55.28 12.0
5.623413e+07 55.21 10.5
5.754399e+07 55.14 9.2
5.888437e+07 55.07 7.7
6.025596e+07 55.01 6.3
6.165950e+07 54.93 4.6
6.309573e+07 54.87 3.1
6.456542e+07 54.81 1.5
6.606934e+07 54.74 -0.0
6.760830e+07 54.71 -1.6
6.918310e+07 54.65 -3.1
7.079458e+07 54.59 -5.0
7.244360e+07 54.57 -6.6
7.413102e+07 54.53 -8.4
7.585776e+07 54.50 -10.2
7.762471e+07 54.47 -11.9
7.943282e+07 54.45 -13.6
8.128305e+07 54.39 -15.5
8.317638e+07 54.36 -17.4
8.511380e+07 54.35 -19.4
8.709636e+07 54.34 -21.3
8.912509e+07 54.34 -23.2
9.120108e+07 54.31 -25.4
9.332543e+07 54.30 -27.6
9.549926e+07 54.30 -29.6
9.772372e+07 54.30 -31.8
1.000000e+08 54.29 -34.0
1.023293e+08 54.29 -36.3
1.047129e+08 54.32 -38.6
1.071519e+08 54.33 -41.1
1.096478e+08 54.34 -43.5
1.122018e+08 54.36 -46.0
1.148154e+08 54.37 -48.6
1.174898e+08 54.40 -51.5
1.202264e+08 54.41 -54.1
1.230269e+08 54.44 -57.2
1.258925e+08 54.48 -60.2
1.288250e+08 54.49 -63.3
1.318257e+08 54.53 -66.6
1.348963e+08 54.57 -69.9
1.380384e+08 54.58 -73.4
1.412538e+08 54.63 -77.1
1.445440e+08 54.64 -80.9
1.479108e+08 54.65 -84.9
1.513561e+08 54.64 -89.0
1.548817e+08 54.66 -93.3
1.584893e+08 54.65 -98.0
1.621810e+08 54.63 -102.9
1.659587e+08 54.58 -107.8
1.698244e+08 54.50 -113.1
1.737801e+08 54.44 -118.5
1.778279e+08 54.30 -124.1
1.819701e+08 54.17 -130.0
1.862087e+08 53.98 -136.2
1.905461e+08 53.78 -142.6
1.949845e+08 53.51 -149.3
1.995262e+08 53.22 -156.0
2.041738e+08 52.83 -163.0
2.089296e+08 52.45 -170.1
2.137962e+08 51.99 -177.4
2.187762e+08 51.48 175.1
2.238721e+08 50.92 167.5
2.290868e+08 50.32 159.8
2.344229e+08 49.67 151.8
2.398833e+08 49.00 143.8
2.454709e+08 48.29 135.4
2.511886e+08 47.56 126.7
2.570396e+08 46.82 117.7
2.630268e+08 46.07 108.2
2.691535e+08 45.34 98.1
2.754229e+08 44.65 87.6
2.818383e+08 44.01 76.4
2.884032e+08 43.47 64.6
2.951209e+08 43.04 52.4
3.019952e+08 42.77 39.7
3.090295e+08 42.64 26.9
3.162278e+08 42.69 14.2
3.235937e+08 42.86 1.8
3.311311e+08 43.16 -10.1
3.388442e+08 43.54 -21.6
3.467369e+08 43.98 -32.6
3.548134e+08 44.47 -43.3
3.630781e+08 44.97 -53.6
3.715352e+08 45.47 -63.8
3.801894e+08 45.97 -73.9
3.890451e+08 46.47 -84.0
3.981072e+08 46.93 -94.3
4.073803e+08 47.35 -104.8
4.168694e+08 47.71 -115.7
4.265795e+08 48.00 -126.9
4.365158e+08 48.22 -138.7
4.466836e+08 48.33 -150.9
4.570882e+08 48.32 -163.6
4.677351e+08 48.17 -176.6
4.786301e+08 47.86 169.9
4.897788e+08 47.40 156.1
5.011872e+08 46.79 142.1
5.128614e+08 46.04 127.7
5.248075e+08 45.17 112.8
5.370318e+08 44.19 97.1
5.495409e+08 43.13 80.2
5.623413e+08 42.08 61.7
5.754399e+08 41.14 40.9
5.888437e+08 40.49 17.7
6.025596e+08 40.36 -7.3
6.165950e+08 40.83 -32.5
6.309573e+08 41.78 -56.4
6.456542e+08 43.03 -78.4
6.606934e+08 44.37 -99.1
6.760830e+08 45.67 -118.9
6.918310e+08 46.85 -138.7
7.079458e+08 47.83 -158.6
7.244360e+08 48.55 -179.2
7.413102e+08 48.89 159.9
7.585776e+08 48.90 138.9
7.762471e+08 48.59 118.2
7.943282e+08 47.95 97.5
8.128305e+08 47.11 76.7
8.317638e+08 46.12 55.0
8.511380e+08 45.06 30.8
8.709636e+08 44.17 2.3
8.912509e+08 43.96 -31.7
9.120108e+08 45.08 -69.2
9.332543e+08 47.47 -105.4
9.549926e+08 50.51 -139.4
9.772372e+08 53.55 -173.3
1.000000e+09 55.93 150.9
